Ex-DividendDate,CashAmount,Record Date,Pay Date
"Jun 17, 2025",1.100 PHP,"Jun 18, 2025","Jun 30, 2025"
"Mar 10, 2025",0.99088 PHP,"Mar 11, 2025","Mar 31, 2025"
"Dec 12, 2024",0.99088 PHP,"Dec 13, 2024","Dec 27, 2024"
"Sep 16, 2024",0.99088 PHP,"Sep 17, 2024","Sep 30, 2024"
"Jun 10, 2024",0.99088 PHP,"Jun 11, 2024","Jun 28, 2024"
"Mar 11, 2024",0.74316 PHP,"Mar 12, 2024","Mar 27, 2024"
"Dec 21, 2023",0.74316 PHP,"Dec 22, 2023","Dec 29, 2023"
"Sep 11, 2023",0.74316 PHP,"Sep 12, 2023","Sep 29, 2023"
"Jun 8, 2023",0.74316 PHP,"Jun 14, 2023","Jun 30, 2023"
"Mar 8, 2023",0.74316 PHP,"Mar 13, 2023","Mar 31, 2023"
"Dec 15, 2022",0.29726 PHP,"Dec 20, 2022","Dec 29, 2022"
"Sep 8, 2022",0.24772 PHP,"Sep 13, 2022","Sep 30, 2022"
"Jun 9, 2022",0.24772 PHP,"Jun 14, 2022","Jun 30, 2022"
"May 3, 2022",0.82573 PHP,"May 6, 2022","May 31, 2022"
"Mar 9, 2022",0.24772 PHP,"Mar 14, 2022","Mar 31, 2022"
"Dec 17, 2021",0.24772 PHP,"Dec 22, 2021","Dec 29, 2021"
"Sep 10, 2021",0.24772 PHP,"Sep 15, 2021","Sep 24, 2021"
"Jun 11, 2021",0.24772 PHP,"Jun 16, 2021","Jun 25, 2021"
"Mar 10, 2021",0.24772 PHP,"Mar 15, 2021","Mar 25, 2021"
"Dec 17, 2020",0.24772 PHP,"Dec 22, 2020","Dec 29, 2020"
"Sep 10, 2020",0.24772 PHP,"Sep 15, 2020","Sep 28, 2020"
